excel_row,reason,compte,centre,designation,montant
5,invalid_required_fields,6611000,93.3.8.3 endoscopie,SALAIRES,None
17,invalid_required_fields,6611000,93.3.20.2 Hospitalisations Ophtalmologie,SALAIRES,None
43,invalid_required_fields,6611000,93.3.3.2 Mise en Observations Consultations externes,SALAIRES,None
58,invalid_required_fields,6611000,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,SALAIRES,None
61,invalid_required_fields,6611000,93.1.1.2.1 CA,SALAIRES,None
62,invalid_required_fields,6611000,93.1.1.2.2 CME,SALAIRES,None
63,invalid_required_fields,6611000,93.1.1.2.3 CTE,SALAIRES,None
64,invalid_required_fields,6611000,93.1.1.2.4 Commission de passation des marchés,SALAIRES,None
76,invalid_required_fields,6611000,93.1.3.2 division Comptabilité analytique,SALAIRES,None
77,invalid_required_fields,6611000,93.1.3.3 division suivi budgétaire,SALAIRES,None
79,invalid_required_fields,6611000,93.1.11.1 Brancardage,SALAIRES,None
80,invalid_required_fields,6611000,93.1.11.2 Division qualité ,SALAIRES,None
82,invalid_required_fields,6611000,93.1.11.4.1 CLIN,SALAIRES,None
83,invalid_required_fields,6611000,93.1.11.4.2 Comité 5S,SALAIRES,None
85,invalid_required_fields,6611000,93.1.9.2 Cellule de communication,SALAIRES,None
87,invalid_required_fields,6611000,93.1.9.4 Prise en charge des Cas sociaux,SALAIRES,None
88,invalid_required_fields,6611000,93.1.9.5 MAGAL,SALAIRES,None
92,invalid_required_fields,6611000,93.1.5.3.1 Bureau formation,SALAIRES,None
94,invalid_required_fields,6611000,93.1.5.3.3 CHST,SALAIRES,None
108,invalid_required_fields,6612000,93.3.8.3 endoscopie,RESPONSABILITE,None
120,invalid_required_fields,6612000,93.3.20.2 Hospitalisations Ophtalmologie,RESPONSABILITE,None
142,invalid_required_fields,6612000,93.1.14.1 Pharmacie IB,RESPONSABILITE,None
148,invalid_required_fields,6612000,93.3.3.2 Mise en Observations Consultations externes,RESPONSABILITE,None
150,invalid_required_fields,6612000,93.3.7.1 consultations Dermatologie,RESPONSABILITE,None
151,invalid_required_fields,6612000,93.3.7.2 Hospitalisations Dermatologie,RESPONSABILITE,None
152,invalid_required_fields,6612000,93.3.7.3 Actes Dermatologie,RESPONSABILITE,None
163,invalid_required_fields,6612000,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,RESPONSABILITE,None
169,invalid_required_fields,6612000,93.1.1.2.1 CA,RESPONSABILITE,None
170,invalid_required_fields,6612000,93.1.1.2.2 CME,RESPONSABILITE,None
171,invalid_required_fields,6612000,93.1.1.2.3 CTE,RESPONSABILITE,None
172,invalid_required_fields,6612000,93.1.1.2.4 Commission de passation des marchés,RESPONSABILITE,None
185,invalid_required_fields,6612000,93.1.3.3 division suivi budgétaire,RESPONSABILITE,None
187,invalid_required_fields,6612000,93.1.11.1 Brancardage,RESPONSABILITE,None
188,invalid_required_fields,6612000,93.1.11.2 Division qualité ,RESPONSABILITE,None
190,invalid_required_fields,6612000,93.1.11.4.1 CLIN,RESPONSABILITE,None
191,invalid_required_fields,6612000,93.1.11.4.2 Comité 5S,RESPONSABILITE,None
193,invalid_required_fields,6612000,93.1.9.2 Cellule de communication,RESPONSABILITE,None
195,invalid_required_fields,6612000,93.1.9.4 Prise en charge des Cas sociaux,RESPONSABILITE,None
196,invalid_required_fields,6612000,93.1.9.5 MAGAL,RESPONSABILITE,None
200,invalid_required_fields,6612000,93.1.5.3.1 Bureau formation,RESPONSABILITE,None
202,invalid_required_fields,6612000,93.1.5.3.3 CHST,RESPONSABILITE,None
216,invalid_required_fields,6618000,93.3.8.3 endoscopie,ASTREINTE,None
228,invalid_required_fields,6618000,93.3.20.2 Hospitalisations Ophtalmologie,ASTREINTE,None
239,invalid_required_fields,6618000,93.3.16.1 Séance ,ASTREINTE,None
250,invalid_required_fields,6618000,93.1.14.1 Pharmacie IB,ASTREINTE,None
256,invalid_required_fields,6618000,93.3.3.2 Mise en Observations Consultations externes,ASTREINTE,None
258,invalid_required_fields,6618000,93.3.7.1 consultations Dermatologie,ASTREINTE,None
259,invalid_required_fields,6618000,93.3.7.2 Hospitalisations Dermatologie,ASTREINTE,None
260,invalid_required_fields,6618000,93.3.7.3 Actes Dermatologie,ASTREINTE,None
271,invalid_required_fields,6618000,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,ASTREINTE,None
276,invalid_required_fields,6618000,93.1.1.1 Secrétariat Direction,ASTREINTE,None
277,invalid_required_fields,6618000,93.1.1.2.1 CA,ASTREINTE,None
278,invalid_required_fields,6618000,93.1.1.2.2 CME,ASTREINTE,None
279,invalid_required_fields,6618000,93.1.1.2.3 CTE,ASTREINTE,None
280,invalid_required_fields,6618000,93.1.1.2.4 Commission de passation des marchés,ASTREINTE,None
287,invalid_required_fields,6618000,93.1.6.1 Secrétariat ACP,ASTREINTE,None
288,invalid_required_fields,6618000,93.1.6.2.1 Caisse dépenses,ASTREINTE,None
289,invalid_required_fields,6618000,93.1.6.2.2 Caisse recettes (caisse principale),ASTREINTE,None
290,invalid_required_fields,6618000,93.1.6.3 Division recouvrement,ASTREINTE,None
292,invalid_required_fields,6618000,93.1.3.2 division Comptabilité analytique,ASTREINTE,None
293,invalid_required_fields,6618000,93.1.3.3 division suivi budgétaire,ASTREINTE,None
295,invalid_required_fields,6618000,93.1.11.1 Brancardage,ASTREINTE,None
296,invalid_required_fields,6618000,93.1.11.2 Division qualité ,ASTREINTE,None
298,invalid_required_fields,6618000,93.1.11.4.1 CLIN,ASTREINTE,None
299,invalid_required_fields,6618000,93.1.11.4.2 Comité 5S,ASTREINTE,None
301,invalid_required_fields,6618000,93.1.9.2 Cellule de communication,ASTREINTE,None
303,invalid_required_fields,6618000,93.1.9.4 Prise en charge des Cas sociaux,ASTREINTE,None
304,invalid_required_fields,6618000,93.1.9.5 MAGAL,ASTREINTE,None
308,invalid_required_fields,6618000,93.1.5.3.1 Bureau formation,ASTREINTE,None
310,invalid_required_fields,6618000,93.1.5.3.3 CHST,ASTREINTE,None
315,invalid_required_fields,6618000,93.1. 13.1 Division hygiène,ASTREINTE,None
316,invalid_required_fields,6618000,93.1. 13.2 Division sécurité,ASTREINTE,None
317,invalid_required_fields,6618000,93.1.7.1 Magasin CM,ASTREINTE,None
318,invalid_required_fields,6618000,93.1.7.2 Comptabilité des matières S,ASTREINTE,None
339,invalid_required_fields,6041100,93.3.20.2 Hospitalisations Ophtalmologie,MEDICAMENT ET CONSOMMABLE,None
361,invalid_required_fields,6041100,93.1.14.1 Pharmacie IB,MEDICAMENT ET CONSOMMABLE,None
364,invalid_required_fields,6041100,93.3.3.2 Mise en Observations Consultations externes,MEDICAMENT ET CONSOMMABLE,None
379,invalid_required_fields,6041100,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,MEDICAMENT ET CONSOMMABLE,None
385,invalid_required_fields,6041100,93.1.1.2.1 CA,MEDICAMENT ET CONSOMMABLE,None
386,invalid_required_fields,6041100,93.1.1.2.2 CME,MEDICAMENT ET CONSOMMABLE,None
387,invalid_required_fields,6041100,93.1.1.2.3 CTE,MEDICAMENT ET CONSOMMABLE,None
388,invalid_required_fields,6041100,93.1.1.2.4 Commission de passation des marchés,MEDICAMENT ET CONSOMMABLE,None
401,invalid_required_fields,6041100,93.1.3.3 division suivi budgétaire,MEDICAMENT ET CONSOMMABLE,None
402,invalid_required_fields,6041100,93.1.4.1 Audit interne,MEDICAMENT ET CONSOMMABLE,None
404,invalid_required_fields,6041100,93.1.11.2 Division qualité ,MEDICAMENT ET CONSOMMABLE,None
406,invalid_required_fields,6041100,93.1.11.4.1 CLIN,MEDICAMENT ET CONSOMMABLE,None
407,invalid_required_fields,6041100,93.1.11.4.2 Comité 5S,MEDICAMENT ET CONSOMMABLE,None
409,invalid_required_fields,6041100,93.1.9.2 Cellule de communication,MEDICAMENT ET CONSOMMABLE,None
411,invalid_required_fields,6041100,93.1.9.4 Prise en charge des Cas sociaux,MEDICAMENT ET CONSOMMABLE,None
412,invalid_required_fields,6041100,93.1.9.5 MAGAL,MEDICAMENT ET CONSOMMABLE,None
416,invalid_required_fields,6041100,93.1.5.3.1 Bureau formation,MEDICAMENT ET CONSOMMABLE,None
418,invalid_required_fields,6041100,93.1.5.3.3 CHST,MEDICAMENT ET CONSOMMABLE,None
427,invalid_required_fields,6041100,93.1.8.1 SIH,MEDICAMENT ET CONSOMMABLE,None
428,invalid_required_fields,6041100,93.1.8.2 Division des archives,MEDICAMENT ET CONSOMMABLE,None
437,invalid_required_fields,6631200,93.3.8.3 endoscopie,INDEMNITES DE TRANSPORT,None
449,invalid_required_fields,6631200,93.3.20.2 Hospitalisations Ophtalmologie,INDEMNITES DE TRANSPORT,None
457,invalid_required_fields,6631200,93.3.15.1 Consultations Orthopédie,INDEMNITES DE TRANSPORT,None
458,invalid_required_fields,6631200,93.3.15.2 Hospitalisations Orthopédie,INDEMNITES DE TRANSPORT,None
459,invalid_required_fields,6631200,93.3.15.3 Actes chirurgicaux Orthopédie,INDEMNITES DE TRANSPORT,None
471,invalid_required_fields,6631200,93.1.14.1 Pharmacie IB,INDEMNITES DE TRANSPORT,None
477,invalid_required_fields,6631200,93.3.3.2 Mise en Observations Consultations externes,INDEMNITES DE TRANSPORT,None
479,invalid_required_fields,6631200,93.3.7.1 consultations Dermatologie,INDEMNITES DE TRANSPORT,None
480,invalid_required_fields,6631200,93.3.7.2 Hospitalisations Dermatologie,INDEMNITES DE TRANSPORT,None
481,invalid_required_fields,6631200,93.3.7.3 Actes Dermatologie,INDEMNITES DE TRANSPORT,None
482,invalid_required_fields,6631200,93.3.6.1 consultations Cardiologie,INDEMNITES DE TRANSPORT,None
483,invalid_required_fields,6631200,93.3.6.2 hospitalisations Cardiologie,INDEMNITES DE TRANSPORT,None
484,invalid_required_fields,6631200,93.3.6.3 ECG,INDEMNITES DE TRANSPORT,None
485,invalid_required_fields,6631200,93.3.6.4 MAPA,INDEMNITES DE TRANSPORT,None
486,invalid_required_fields,6631200,93.3.6.5 Echocoeur,INDEMNITES DE TRANSPORT,None
487,invalid_required_fields,6631200,93.3.6.6 Holter,INDEMNITES DE TRANSPORT,None
491,invalid_required_fields,6631200,93.3.12.1 Consultations Néphrologie Hémodialyse,INDEMNITES DE TRANSPORT,None
492,invalid_required_fields,6631200,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,INDEMNITES DE TRANSPORT,None
493,invalid_required_fields,6631200,93.3.12.3 Dialyse,INDEMNITES DE TRANSPORT,None
494,invalid_required_fields,6631200,93.3.18.1 Consultations Urologie,INDEMNITES DE TRANSPORT,None
495,invalid_required_fields,6631200,93.3.18.2 Hospitalisations Urologie,INDEMNITES DE TRANSPORT,None
496,invalid_required_fields,6631200,93.3.18.3 actes Urologie,INDEMNITES DE TRANSPORT,None
498,invalid_required_fields,6631200,93.1.1.2.1 CA,INDEMNITES DE TRANSPORT,None
499,invalid_required_fields,6631200,93.1.1.2.2 CME,INDEMNITES DE TRANSPORT,None
500,invalid_required_fields,6631200,93.1.1.2.3 CTE,INDEMNITES DE TRANSPORT,None
501,invalid_required_fields,6631200,93.1.1.2.4 Commission de passation des marchés,INDEMNITES DE TRANSPORT,None
514,invalid_required_fields,6631200,93.1.3.3 division suivi budgétaire,INDEMNITES DE TRANSPORT,None
516,invalid_required_fields,6631200,93.1.11.1 Brancardage,INDEMNITES DE TRANSPORT,None
517,invalid_required_fields,6631200,93.1.11.2 Division qualité ,INDEMNITES DE TRANSPORT,None
518,invalid_required_fields,6631200,93.1.11.3 Division formation,INDEMNITES DE TRANSPORT,None
519,invalid_required_fields,6631200,93.1.11.4.1 CLIN,INDEMNITES DE TRANSPORT,None
520,invalid_required_fields,6631200,93.1.11.4.2 Comité 5S,INDEMNITES DE TRANSPORT,None
522,invalid_required_fields,6631200,93.1.9.2 Cellule de communication,INDEMNITES DE TRANSPORT,None
524,invalid_required_fields,6631200,93.1.9.4 Prise en charge des Cas sociaux,INDEMNITES DE TRANSPORT,None
525,invalid_required_fields,6631200,93.1.9.5 MAGAL,INDEMNITES DE TRANSPORT,None
526,invalid_required_fields,6631200,93.1.5.1 Secrétariat RH,INDEMNITES DE TRANSPORT,None
527,invalid_required_fields,6631200,93.1.5.2.1 Administration du personnel,INDEMNITES DE TRANSPORT,None
528,invalid_required_fields,6631200,93.1.5.2.2 Gestion de la paie,INDEMNITES DE TRANSPORT,None
529,invalid_required_fields,6631200,93.1.5.3.1 Bureau formation,INDEMNITES DE TRANSPORT,None
530,invalid_required_fields,6631200,93.1.5.3.2 Gestion des carrières et des compétences,INDEMNITES DE TRANSPORT,None
531,invalid_required_fields,6631200,93.1.5.3.3 CHST,INDEMNITES DE TRANSPORT,None
540,invalid_required_fields,6631200,93.1.8.1 SIH,INDEMNITES DE TRANSPORT,None
541,invalid_required_fields,6631200,93.1.8.2 Division des archives,INDEMNITES DE TRANSPORT,None
545,invalid_required_fields,6631300,93.3.8.3 endoscopie,INDEMNITES DE LOGEMENT,None
557,invalid_required_fields,6631300,93.3.20.2 Hospitalisations Ophtalmologie,INDEMNITES DE LOGEMENT,None
579,invalid_required_fields,6631300,93.1.14.1 Pharmacie IB,INDEMNITES DE LOGEMENT,None
585,invalid_required_fields,6631300,93.3.3.2 Mise en Observations Consultations externes,INDEMNITES DE LOGEMENT,None
587,invalid_required_fields,6631300,93.3.7.1 consultations Dermatologie,INDEMNITES DE LOGEMENT,None
588,invalid_required_fields,6631300,93.3.7.2 Hospitalisations Dermatologie,INDEMNITES DE LOGEMENT,None
589,invalid_required_fields,6631300,93.3.7.3 Actes Dermatologie,INDEMNITES DE LOGEMENT,None
600,invalid_required_fields,6631300,93.3.12.2 Hospitalisations de jour Néphrologie Hémodialyse,INDEMNITES DE LOGEMENT,None
605,invalid_required_fields,6631300,93.1.1.1 Secrétariat Direction,INDEMNITES DE LOGEMENT,None
606,invalid_required_fields,6631300,93.1.1.2.1 CA,INDEMNITES DE LOGEMENT,None
607,invalid_required_fields,6631300,93.1.1.2.2 CME,INDEMNITES DE LOGEMENT,None
608,invalid_required_fields,6631300,93.1.1.2.3 CTE,INDEMNITES DE LOGEMENT,None
609,invalid_required_fields,6631300,93.1.1.2.4 Commission de passation des marchés,INDEMNITES DE LOGEMENT,None
610,invalid_required_fields,6631300,93.1.2.1 Secrétariat SAF,INDEMNITES DE LOGEMENT,None
611,invalid_required_fields,6631300,93.1.2.2.1 Bureau de la facturation,INDEMNITES DE LOGEMENT,None
612,invalid_required_fields,6631300,93.1.2.2.2 Bureau des entrées,INDEMNITES DE LOGEMENT,None
613,invalid_required_fields,6631300,93.1.2.3.1 Cuisine,INDEMNITES DE LOGEMENT,None
614,invalid_required_fields,6631300,93.1.2.3.2 Buanderie,INDEMNITES DE LOGEMENT,None
615,invalid_required_fields,6631300,93.1.2.3.3 Parc automobile,INDEMNITES DE LOGEMENT,None
